newpid,exchange,beta1,abs_ret_se,beta2,pos_se,beta3,interact_se,abs_ret_pval,pos_pval,interact_pval,r2_w,r2_b,r2_o,rho,n_panels,avg_dates,total_obs,beta1_flag,beta2_flag,beta3_flag,summation,freq
NN-,gatehub,.17632324,.069735549,-.013777902,.17486674,-.30856112,.07881178,.064771004,.94098318,.017318165,.11306462,.33972022,.11307292,.001589337,5,727,3635,N,N,-,-.13223788,35
NN-,cryptocom,.018032525,.011023418,-.0056855744,.037673149,-.036199633,.011094378,.10232499,.88008368,.0011566542,.0076097017,.0010242163,.0067648734,.18891419,698,497.93411,347558,N,N,-,-.018167108,35
NN-,bitfinex,-.0038152968,.0079835039,.066827133,.034577988,-.047635697,.0087476047,.63301158,.054059166,9.5503545e-08,.0082883397,.043326579,.0070445905,.62366384,363,893.62537,324386,N,N,-,-.051450994,35
NN-,modiax,.26632014,.17270577,-.96751082,.35178873,-.44100752,.015504934,.36625534,.22201511,.02237305,.019773599,1,.027148411,.1555191,2,242.5,485,N,N,-,-.17468739,35
NN-,bigone,.035158075,.020532701,.15340294,.13322057,-.072840862,.025971917,.090531483,.25279528,.0062571731,.0039080093,.061412118,.003857841,.56689388,85,253.77647,21571,N,N,-,-.037682787,35
NN-,bxinth,.17316785,.11404756,.26166663,.21882498,-.34815529,.086781859,.1632328,.26233611,.0030553713,.083409712,.44782197,.074990608,.47997484,10,463.70001,4637,N,N,-,-.17498744,35
NN-,tradesatoshi,.31994721,.1960648,-.31054249,.46462122,-.62067711,.15583923,.1152468,.51001704,.00051780854,.039698105,.20933279,.038224183,.17240502,26,113.73077,2957,N,N,-,-.3007299,35
NN-,rightbtc,-.0050677941,.01643269,-.070389599,.055379197,-.039589208,.013938972,.75998461,.21381293,.0081596794,.0078591779,.0012854537,.00811431,.014813285,30,416.79999,12504,N,N,-,-.044657003,35
NN-,gateio,.011219843,.013416214,.024798894,.040444337,-.028641786,.010412072,.4031947,.53991139,.0060535343,.00048255711,.000013257292,.00019569894,.56197912,986,575.71295,567653,N,N,-,-.017421942,35
NN-,exmo,.08058732,.059069961,.13457461,.11330985,-.3070479,.035088144,.17958111,.241483,4.2114430e-11,.016844127,.11733671,.017224869,.069375589,44,1229.7046,54107,N,N,-,-.22646058,35
NN-,btcmarkets,.0053911614,.0074166805,.026479498,.085325919,-.085919693,.0071861176,.49988204,.76882619,.000072160707,.017129278,.60843933,.01791,.0064475425,6,2472.3333,14834,N,N,-,-.080528535,35
NN-,gatecoin,-.022448415,.024371998,-.19216126,.75258487,-.29741153,.068550341,.42494163,.81496918,.022595922,.017149135,.28173339,.017979264,.050178215,4,596.5,2386,N,N,-,-.31985995,35
NN-,crossexchange,.058247894,.030281717,.20980905,.11206305,-.16300675,.035812292,.073603958,.080800414,.00038190486,.028708462,.13475113,.029083451,.21879067,16,495.4375,7927,N,N,-,-.10475886,35
NN-,alterdice,.012554574,.011320362,.073660903,.040307663,-.034953609,.012565891,.2742112,.075288489,.0082895178,.0089403884,.057711817,.0081501249,.029405857,40,747.17499,29887,N,N,-,-.022399034,35
NN-,okex,-.0043145502,.012613404,.0098059345,.016470665,-.010259101,.004114775,.73239571,.55177414,.012861089,.00065200322,.029808886,.00075848075,.083060145,795,616.69684,490274,N,N,-,-.014573651,35
NN-,luno,.4901582,.19324175,-.30362326,.40982005,-.42654991,.069680758,.084939025,.51249248,.0087634381,.0025696685,.048559517,.0017268619,.38441485,4,2469.25,9877,N,N,-,.063608289,35
NN-,bw,.0089560589,.016178094,.10427702,.066637799,-.059318546,.017601913,.58181781,.12263176,.0012874957,.010105874,.04658014,.0098784342,.17619309,64,448.67188,28715,N,N,-,-.050362486,35
NN-,bitmart,.065050393,.035976913,.13434435,.12630807,-.10440692,.036246166,.071335822,.28813732,.0041830479,.0028819765,.0026750802,.0013337989,.97700816,403,336.25806,135512,N,N,-,-.03935653,35
NN-,huobipro,.0015257648,.011929589,.051694207,.03685528,-.021908097,.011061369,.89827633,.16128625,.048129093,.0011332015,.011817805,.00068472017,.70922041,557,630.07184,350950,N,N,-,-.020382332,35
NN-,mandala,.0025299743,.0051677614,-.069622591,.038715363,-.025895746,.0061456198,.6246298,.072661966,.000029256958,.0014746869,.0015973928,.00063836458,.96864057,564,322.50177,181891,N,N,-,-.023365771,35
NN-,tidex,-.0072783115,.013892739,.26541373,.13521563,-.15315896,.041383732,.60159916,.052646719,.00036372946,.015176582,.056888472,.015408516,.22307228,94,148.21277,13932,N,N,-,-.16043727,35
NN-,basefex,.006208438,.0083727315,-.0096352119,.078152917,-.031687152,.0091399243,.48638487,.90590626,.013354341,.010025326,.038972162,.010177444,.029060895,7,226.85715,1588,N,N,-,-.025478713,35
NN-,binance,.009081685,.0065440615,.015146675,.022051865,-.022234607,.0065971287,.16549586,.49231675,.00077767076,.00066797872,.000033178068,.00047824087,.65959895,1066,734.02722,782473,N,N,-,-.013152923,35
NN-,cpdax,.10514066,.078214303,-.17656961,.60202473,-.72567326,.15486461,.27147627,.78841668,.018370314,.055651013,.5118683,.052971713,.22137474,4,113.75,455,N,N,-,-.62053257,35
NN-,bitso,.024423353,.021037154,-.10373556,.082685523,-.039620489,.0094519882,.24831487,.21244365,.000058264974,.00020682665,.02545028,.000024184148,.74839455,105,986.87622,103622,N,N,-,-.015197136,35
NN-,itbit,-.0040057786,.011087318,.065962061,.034179009,-.061896373,.021068064,.72368377,.075730883,.011536429,.0068105226,.020407086,.0064674858,.01682266,14,1120.2858,15684,N,N,-,-.065902151,35
NN-,hitbtc,.0094560422,.018408706,-.054637674,.087199681,-.090406857,.015207411,.60767847,.53118253,4.8000808e-09,.0036700873,.0097256489,.0027192852,.90319496,576,344.17535,198245,N,N,-,-.080950812,35
NN-,coingi,.10967582,.10679752,-.25446454,.16251293,-.29824245,.065140873,.35153532,.17816946,.0059560165,.034615982,.0088207731,.032646958,.14494777,6,328.83334,1973,N,N,-,-.18856663,35
NN-,binanceus,.0021572437,.0076158186,.003684279,.040481318,-.032827985,.010785718,.77714121,.92753369,.0025085802,.0032715106,.37755275,.001269286,.95645297,362,742.85083,268912,N,N,-,-.030670742,35
NN-,exx,.018816231,.013679831,.085490853,.27277112,-.13568197,.052699171,.18498616,.75737917,.01856113,.0072185011,.17846693,.0058344174,.093329623,20,136.75,2735,N,N,-,-.11686574,35
NN-,bitmarket,.093605258,.056309912,.17559876,.069192789,-.28517321,.020746617,.23834091,.12647387,.0052510463,.026356945,.008238635,.026361009,.0020226047,3,1159,3477,N,N,-,-.19156796,35
NN-,dragonex,-.00677467,.015091832,-.10938102,.091201544,-.036181379,.016687928,.65489298,.23444249,.033551387,.0069338544,.0020740717,.006500355,.74903268,71,512.35211,36377,N,N,-,-.04295605,35
NNN,ftx,.0086526545,.01431262,.044606049,.072618499,-.022411915,.017084777,.5460071,.53958601,.19074267,.00027168318,.21833003,.00040470861,.11351244,261,428.46744,111830,N,N,N,-.01375926,58
NNN,shortex,.06211292,.015495485,-.0069016572,.0095115984,-.042590536,.013616242,.056970209,.54350072,.088804737,.053493559,.025877716,.040069122,.032092273,3,153,459,N,N,N,.019522384,58
NNN,mixcoins,.010248984,.064804524,.54035842,.28563559,-.087638147,.04079761,.88199985,.13148072,.098188557,.0064209332,.43005398,.012298448,.20143603,5,179.39999,897,N,N,N,-.077389166,58
NNN,tokens,.083705775,.094267473,-.22180498,.31405357,-.027744897,.12044565,.39069557,.49248788,.8214035,.0015184488,.29596245,.0062710415,.25964803,14,218,3052,N,N,N,.055960879,58
NNN,tidebit,.266527,.16285859,.1611356,.31067556,-.40360895,.20337908,.11377277,.60838306,.057845905,.015917405,4.0451932e-06,.017673843,.46389261,27,183.74074,4961,N,N,N,-.13708195,58
